CELL_Line,Tissue_name
ACH-000558,central_nervous_system
ACH-000559,lung
ACH-000560,gastric
ACH-000561,esophagus
ACH-000562,lung
ACH-000563,lung
ACH-000564,plasma_cell
ACH-000565,colorectal
ACH-000566,urinary_tract
ACH-000567,lymphocyte
ACH-000568,breast
ACH-000569,lung
ACH-000570,central_nervous_system
ACH-000571,central_nervous_system
ACH-000572,skin
ACH-000573,breast
ACH-000574,ovary
ACH-000575,lung
ACH-000576,plasma_cell
ACH-000577,liver
ACH-000578,lung
ACH-000579,skin
ACH-000580,skin
ACH-000581,gastric
ACH-000582,skin
ACH-000583,lymphocyte
ACH-000584,ovary
ACH-000585,lung
ACH-000586,lung
ACH-000587,lung
ACH-000588,plasma_cell
ACH-000589,lung
ACH-000590,lung
ACH-000591,central_nervous_system
ACH-000592,central_nervous_system
ACH-000593,urinary_tract
ACH-000594,lung
ACH-000595,central_nervous_system
ACH-000596,lung
ACH-000597,soft_tissue
ACH-000598,plasma_cell
ACH-000599,pancreas
ACH-000600,kidney
ACH-000601,pancreas
ACH-000602,blood
ACH-000603,lung
ACH-000604,blood
ACH-000605,esophagus
ACH-000606,upper_aerodigestive
ACH-000607,soft_tissue
ACH-000608,ovary
ACH-000609,central_nervous_system
ACH-000610,lung
ACH-000611,lymphocyte
ACH-000612,lymphocyte
ACH-000613,bone
ACH-000614,skin
ACH-000615,skin
ACH-000616,gastric
ACH-000617,ovary
ACH-000618,upper_aerodigestive
ACH-000619,upper_aerodigestive
ACH-000620,liver
ACH-000621,breast
ACH-000622,central_nervous_system
ACH-000623,central_nervous_system
ACH-000624,breast
ACH-000625,liver
ACH-000626,plasma_cell
ACH-000627,lung
ACH-000628,lung
ACH-000629,central_nervous_system
ACH-000630,upper_aerodigestive
ACH-000631,central_nervous_system
ACH-000632,skin
ACH-000633,gastric
ACH-000634,central_nervous_system
ACH-000635,ovary
ACH-000636,blood
ACH-000637,esophagus
ACH-000638,lung
ACH-000639,lung
ACH-000640,skin
ACH-000641,blood
ACH-000642,breast
ACH-000643,breast
ACH-000644,skin
ACH-000645,lung
ACH-000646,ovary
ACH-000647,esophagus
ACH-000648,lung
ACH-000649,kidney
ACH-000650,skin
ACH-000651,colorectal
ACH-000652,pancreas
ACH-000653,plasma_cell
ACH-000654,lymphocyte
ACH-000655,central_nervous_system
ACH-000656,lymphocyte
ACH-000657,ovary
ACH-000658,plasma_cell
ACH-000659,lung
